Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
234	5.0000	0.9950	0.9768
235	3.0000	0.5970	0.5861
236	6.0000	1.1940	1.1721
237	7.0000	1.3930	1.3675
238	5.0000	0.9950	0.9768
239	5.0000	0.9950	0.9768
240	7.0000	1.3930	1.3675
241	6.0000	1.1940	1.1721
242	6.0000	1.1940	1.1721
243	6.0000	1.1940	1.1721
244	4.0000	0.7960	0.7814
245	5.0000	0.9950	0.9768
246	7.0000	1.3930	1.3675
247	7.0000	1.3930	1.3675
248	7.0000	1.3930	1.3675
249	4.0000	0.7960	0.7814
250	3.0000	0.5970	0.5861
251	5.0000	0.9950	0.9768
252	6.0000	1.1940	1.1721
253	3.0000	0.5970	0.5861
254	0.0000	0.0000	0.0000
255	6.0000	1.1940	1.1721
256	6.0000	1.1940	1.1721
257	3.0000	0.5970	0.5861
258	7.0000	1.3930	1.3675
259	5.0000	0.9950	0.9768
260	3.0000	0.5970	0.5861
261	3.0000	0.5970	0.5861
262	5.0000	0.9950	0.9768
263	7.0000	1.3930	1.3675
264	0.0000	0.0000	0.0000
265	3.0000	0.5970	0.5861
266	7.0000	1.3930	1.3675
267	4.0000	0.7960	0.7814
268	3.0000	0.5970	0.5861
269	3.0000	0.5970	0.5861
270	7.0000	1.3930	1.3675
271	5.0000	0.9950	0.9768
272	7.0000	1.3930	1.3675
273	6.0000	1.1940	1.1721
274	3.0000	0.5970	0.5861
275	6.0000	1.1940	1.1721
276	4.0000	0.7960	0.7814
277	3.0000	0.5970	0.5861
278	5.0000	0.9950	0.9768
279	7.0000	1.3930	1.3675
280	3.0000	0.5970	0.5861
281	5.0000	0.9950	0.9768
282	7.0000	1.3930	1.3675
283	7.0000	1.3930	1.3675
284	4.0000	0.7960	0.7814
285	6.0000	1.1940	1.1721
286	3.0000	0.5970	0.5861
287	7.0000	1.3930	1.3675
288	6.0000	1.1940	1.1721
289	5.0000	0.9950	0.9768
290	6.0000	1.1940	1.1721
291	7.0000	1.3930	1.3675
292	3.0000	0.5970	0.5861
293	7.0000	1.3930	1.3675
294	3.0000	0.5970	0.5861
295	6.0000	1.1940	1.1721
296	5.0000	0.9950	0.9768
297	3.0000	0.5970	0.5861
298	6.0000	1.1940	1.1721
299	6.0000	1.1940	1.1721
300	5.0000	0.9950	0.9768
301	4.0000	0.7960	0.7814
302	7.0000	1.3930	1.3675
303	5.0000	0.9950	0.9768
304	3.0000	0.5970	0.5861
305	4.0000	0.7960	0.7814
306	3.0000	0.5970	0.5861
307	7.0000	1.3930	1.3675
308	3.0000	0.5970	0.5861
309	5.0000	0.9950	0.9768
310	7.0000	1.3930	1.3675
311	6.0000	1.1940	1.1721
312	7.0000	1.3930	1.3675
313	5.0000	0.9950	0.9768
314	7.0000	1.3930	1.3675
315	5.0000	0.9950	0.9768
316	7.0000	1.3930	1.3675
317	5.0000	0.9950	0.9768
318	6.0000	1.1940	1.1721
319	5.0000	0.9950	0.9768
320	3.0000	0.5970	0.5861
321	0.0000	0.0000	0.0000
322	3.0000	0.5970	0.5861
323	7.0000	1.3930	1.3675
324	4.0000	0.7960	0.7814
325	4.0000	0.7960	0.7814
326	6.0000	1.1940	1.1721
327	7.0000	1.3930	1.3675
328	7.0000	1.3930	1.3675
329	7.0000	1.3930	1.3675
330	3.0000	0.5970	0.5861
331	5.0000	0.9950	0.9768
332	7.0000	1.3930	1.3675
333	5.0000	0.9950	0.9768
334	3.0000	0.5970	0.5861
335	7.0000	1.3930	1.3675
336	6.0000	1.1940	1.1721
337	7.0000	1.3930	1.3675
338	7.0000	1.3930	1.3675
339	3.0000	0.5970	0.5861
340	7.0000	1.3930	1.3675
341	6.0000	1.1940	1.1721
342	7.0000	1.3930	1.3675
343	3.0000	0.5970	0.5861
344	7.0000	1.3930	1.3675
345	3.0000	0.5970	0.5861
346	4.0000	0.7960	0.7814
347	5.0000	0.9950	0.9768
348	7.0000	1.3930	1.3675
349	5.0000	0.9950	0.9768
350	5.0000	0.9950	0.9768
351	6.0000	1.1940	1.1721
352	7.0000	1.3930	1.3675
