Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
310	5.0000	1.0808	1.0613
311	5.0000	1.0808	1.0613
312	5.0000	1.0808	1.0613
313	5.0000	1.0808	1.0613
314	4.0000	0.8647	0.8491
315	4.0000	0.8647	0.8491
316	4.0000	0.8647	0.8491
317	5.0000	1.0808	1.0613
318	5.0000	1.0808	1.0613
319	5.0000	1.0808	1.0613
320	5.0000	1.0808	1.0613
321	5.0000	1.0808	1.0613
322	4.0000	0.8647	0.8491
323	5.0000	1.0808	1.0613
324	5.0000	1.0808	1.0613
325	5.0000	1.0808	1.0613
326	5.0000	1.0808	1.0613
327	5.0000	1.0808	1.0613
328	5.0000	1.0808	1.0613
329	5.0000	1.0808	1.0613
330	5.0000	1.0808	1.0613
331	5.0000	1.0808	1.0613
332	5.0000	1.0808	1.0613
333	4.0000	0.8647	0.8491
334	5.0000	1.0808	1.0613
335	5.0000	1.0808	1.0613
336	5.0000	1.0808	1.0613
337	5.0000	1.0808	1.0613
338	5.0000	1.0808	1.0613
339	5.0000	1.0808	1.0613
340	5.0000	1.0808	1.0613
341	4.0000	0.8647	0.8491
342	5.0000	1.0808	1.0613
343	4.0000	0.8647	0.8491
344	5.0000	1.0808	1.0613
345	5.0000	1.0808	1.0613
346	5.0000	1.0808	1.0613
347	5.0000	1.0808	1.0613
348	5.0000	1.0808	1.0613
349	4.0000	0.8647	0.8491
350	5.0000	1.0808	1.0613
351	4.0000	0.8647	0.8491
352	4.0000	0.8647	0.8491
353	4.0000	0.8647	0.8491
354	5.0000	1.0808	1.0613
355	5.0000	1.0808	1.0613
356	5.0000	1.0808	1.0613
357	5.0000	1.0808	1.0613
358	4.0000	0.8647	0.8491
359	4.0000	0.8647	0.8491
360	5.0000	1.0808	1.0613
361	5.0000	1.0808	1.0613
362	5.0000	1.0808	1.0613
363	3.0000	0.6485	0.6368
364	5.0000	1.0808	1.0613
365	5.0000	1.0808	1.0613
366	4.0000	0.8647	0.8491
367	5.0000	1.0808	1.0613
368	5.0000	1.0808	1.0613
369	5.0000	1.0808	1.0613
370	5.0000	1.0808	1.0613
371	5.0000	1.0808	1.0613
372	4.0000	0.8647	0.8491
373	5.0000	1.0808	1.0613
374	5.0000	1.0808	1.0613
375	5.0000	1.0808	1.0613
376	5.0000	1.0808	1.0613
377	4.0000	0.8647	0.8491
378	5.0000	1.0808	1.0613
379	5.0000	1.0808	1.0613
380	5.0000	1.0808	1.0613
381	5.0000	1.0808	1.0613
382	4.0000	0.8647	0.8491
383	3.0000	0.6485	0.6368
384	5.0000	1.0808	1.0613
385	3.0000	0.6485	0.6368
386	5.0000	1.0808	1.0613
387	5.0000	1.0808	1.0613
388	5.0000	1.0808	1.0613
389	5.0000	1.0808	1.0613
390	4.0000	0.8647	0.8491
391	5.0000	1.0808	1.0613
392	5.0000	1.0808	1.0613
393	5.0000	1.0808	1.0613
394	5.0000	1.0808	1.0613
395	5.0000	1.0808	1.0613
396	5.0000	1.0808	1.0613
397	5.0000	1.0808	1.0613
398	5.0000	1.0808	1.0613
399	5.0000	1.0808	1.0613
400	5.0000	1.0808	1.0613
401	5.0000	1.0808	1.0613
402	5.0000	1.0808	1.0613
403	5.0000	1.0808	1.0613
404	5.0000	1.0808	1.0613
405	4.0000	0.8647	0.8491
406	5.0000	1.0808	1.0613
407	5.0000	1.0808	1.0613
408	5.0000	1.0808	1.0613
409	5.0000	1.0808	1.0613
410	5.0000	1.0808	1.0613
411	4.0000	0.8647	0.8491
412	5.0000	1.0808	1.0613
413	5.0000	1.0808	1.0613
414	5.0000	1.0808	1.0613
415	3.0000	0.6485	0.6368
416	5.0000	1.0808	1.0613
417	4.0000	0.8647	0.8491
418	5.0000	1.0808	1.0613
419	5.0000	1.0808	1.0613
420	5.0000	1.0808	1.0613
421	5.0000	1.0808	1.0613
422	4.0000	0.8647	0.8491
423	3.0000	0.6485	0.6368
424	4.0000	0.8647	0.8491
425	5.0000	1.0808	1.0613
426	2.0000	0.4323	0.4245
427	4.0000	0.8647	0.8491
428	5.0000	1.0808	1.0613
429	4.0000	0.8647	0.8491
430	5.0000	1.0808	1.0613
431	5.0000	1.0808	1.0613
432	5.0000	1.0808	1.0613
433	5.0000	1.0808	1.0613
434	5.0000	1.0808	1.0613
435	5.0000	1.0808	1.0613
436	5.0000	1.0808	1.0613
437	5.0000	1.0808	1.0613
438	5.0000	1.0808	1.0613
439	4.0000	0.8647	0.8491
440	5.0000	1.0808	1.0613
441	5.0000	1.0808	1.0613
442	5.0000	1.0808	1.0613
443	5.0000	1.0808	1.0613
444	5.0000	1.0808	1.0613
445	4.0000	0.8647	0.8491
446	4.0000	0.8647	0.8491
447	5.0000	1.0808	1.0613
448	5.0000	1.0808	1.0613
449	1.0000	0.2162	0.2123
450	5.0000	1.0808	1.0613
451	5.0000	1.0808	1.0613
452	5.0000	1.0808	1.0613
453	5.0000	1.0808	1.0613
454	5.0000	1.0808	1.0613
455	4.0000	0.8647	0.8491
456	5.0000	1.0808	1.0613
457	5.0000	1.0808	1.0613
458	4.0000	0.8647	0.8491
459	5.0000	1.0808	1.0613
460	5.0000	1.0808	1.0613
461	5.0000	1.0808	1.0613
462	5.0000	1.0808	1.0613
463	4.0000	0.8647	0.8491
464	5.0000	1.0808	1.0613
465	5.0000	1.0808	1.0613
466	4.0000	0.8647	0.8491
467	4.0000	0.8647	0.8491
468	5.0000	1.0808	1.0613
469	5.0000	1.0808	1.0613
470	5.0000	1.0808	1.0613
471	5.0000	1.0808	1.0613
472	5.0000	1.0808	1.0613
473	5.0000	1.0808	1.0613
474	5.0000	1.0808	1.0613
475	5.0000	1.0808	1.0613
476	5.0000	1.0808	1.0613
477	5.0000	1.0808	1.0613
478	5.0000	1.0808	1.0613
479	4.0000	0.8647	0.8491
480	5.0000	1.0808	1.0613
481	3.0000	0.6485	0.6368
482	5.0000	1.0808	1.0613
483	4.0000	0.8647	0.8491
484	5.0000	1.0808	1.0613
485	5.0000	1.0808	1.0613
486	4.0000	0.8647	0.8491
487	5.0000	1.0808	1.0613
488	5.0000	1.0808	1.0613
489	3.0000	0.6485	0.6368
490	5.0000	1.0808	1.0613
491	4.0000	0.8647	0.8491
492	5.0000	1.0808	1.0613
493	5.0000	1.0808	1.0613
494	5.0000	1.0808	1.0613
495	3.0000	0.6485	0.6368
496	5.0000	1.0808	1.0613
497	5.0000	1.0808	1.0613
498	4.0000	0.8647	0.8491
499	3.0000	0.6485	0.6368
500	4.0000	0.8647	0.8491
501	5.0000	1.0808	1.0613
502	5.0000	1.0808	1.0613
503	4.0000	0.8647	0.8491
504	5.0000	1.0808	1.0613
505	4.0000	0.8647	0.8491
506	4.0000	0.8647	0.8491
507	5.0000	1.0808	1.0613
508	5.0000	1.0808	1.0613
509	5.0000	1.0808	1.0613
510	4.0000	0.8647	0.8491
511	5.0000	1.0808	1.0613
512	5.0000	1.0808	1.0613
513	5.0000	1.0808	1.0613
514	5.0000	1.0808	1.0613
515	5.0000	1.0808	1.0613
516	5.0000	1.0808	1.0613
517	4.0000	0.8647	0.8491
518	5.0000	1.0808	1.0613
519	5.0000	1.0808	1.0613
520	4.0000	0.8647	0.8491
