Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
227	6.0000	1.1940	1.1721
228	6.0000	1.1940	1.1721
229	6.0000	1.1940	1.1721
230	4.0000	0.7960	0.7814
231	7.0000	1.3930	1.3675
232	6.0000	1.1940	1.1721
233	5.0000	0.9950	0.9768
234	4.0000	0.7960	0.7814
235	4.0000	0.7960	0.7814
236	3.0000	0.5970	0.5861
237	6.0000	1.1940	1.1721
238	4.0000	0.7960	0.7814
239	4.0000	0.7960	0.7814
240	6.0000	1.1940	1.1721
241	5.0000	0.9950	0.9768
242	7.0000	1.3930	1.3675
243	7.0000	1.3930	1.3675
244	5.0000	0.9950	0.9768
245	6.0000	1.1940	1.1721
246	4.0000	0.7960	0.7814
247	6.0000	1.1940	1.1721
248	6.0000	1.1940	1.1721
249	3.0000	0.5970	0.5861
250	6.0000	1.1940	1.1721
251	6.0000	1.1940	1.1721
252	5.0000	0.9950	0.9768
253	4.0000	0.7960	0.7814
254	3.0000	0.5970	0.5861
255	7.0000	1.3930	1.3675
256	7.0000	1.3930	1.3675
257	6.0000	1.1940	1.1721
258	6.0000	1.1940	1.1721
259	4.0000	0.7960	0.7814
260	2.0000	0.3980	0.3907
261	6.0000	1.1940	1.1721
262	6.0000	1.1940	1.1721
263	6.0000	1.1940	1.1721
264	3.0000	0.5970	0.5861
265	2.0000	0.3980	0.3907
266	6.0000	1.1940	1.1721
267	7.0000	1.3930	1.3675
268	2.0000	0.3980	0.3907
269	4.0000	0.7960	0.7814
270	6.0000	1.1940	1.1721
271	4.0000	0.7960	0.7814
272	6.0000	1.1940	1.1721
273	7.0000	1.3930	1.3675
274	6.0000	1.1940	1.1721
275	7.0000	1.3930	1.3675
276	7.0000	1.3930	1.3675
277	4.0000	0.7960	0.7814
278	6.0000	1.1940	1.1721
279	6.0000	1.1940	1.1721
280	6.0000	1.1940	1.1721
281	4.0000	0.7960	0.7814
282	4.0000	0.7960	0.7814
283	6.0000	1.1940	1.1721
284	3.0000	0.5970	0.5861
285	3.0000	0.5970	0.5861
286	6.0000	1.1940	1.1721
287	6.0000	1.1940	1.1721
288	3.0000	0.5970	0.5861
289	6.0000	1.1940	1.1721
290	5.0000	0.9950	0.9768
291	6.0000	1.1940	1.1721
292	6.0000	1.1940	1.1721
293	6.0000	1.1940	1.1721
294	6.0000	1.1940	1.1721
295	3.0000	0.5970	0.5861
296	6.0000	1.1940	1.1721
297	6.0000	1.1940	1.1721
298	5.0000	0.9950	0.9768
