Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
241	2.0000	1.4184	1.4514
242	0.0000	0.0000	0.0000
243	2.0000	1.4184	1.4514
244	2.0000	1.4184	1.4514
245	2.0000	1.4184	1.4514
246	0.0000	0.0000	0.0000
247	0.0000	0.0000	0.0000
248	2.0000	1.4184	1.4514
249	0.0000	0.0000	0.0000
250	0.0000	0.0000	0.0000
251	2.0000	1.4184	1.4514
252	0.0000	0.0000	0.0000
253	2.0000	1.4184	1.4514
254	2.0000	1.4184	1.4514
255	2.0000	1.4184	1.4514
256	0.0000	0.0000	0.0000
257	2.0000	1.4184	1.4514
258	0.0000	0.0000	0.0000
259	0.0000	0.0000	0.0000
260	2.0000	1.4184	1.4514
261	2.0000	1.4184	1.4514
262	2.0000	1.4184	1.4514
263	0.0000	0.0000	0.0000
264	2.0000	1.4184	1.4514
265	2.0000	1.4184	1.4514
266	2.0000	1.4184	1.4514
267	2.0000	1.4184	1.4514
268	2.0000	1.4184	1.4514
269	2.0000	1.4184	1.4514
270	2.0000	1.4184	1.4514
271	2.0000	1.4184	1.4514
272	2.0000	1.4184	1.4514
273	0.0000	0.0000	0.0000
274	0.0000	0.0000	0.0000
275	2.0000	1.4184	1.4514
276	0.0000	0.0000	0.0000
277	2.0000	1.4184	1.4514
278	2.0000	1.4184	1.4514
279	2.0000	1.4184	1.4514
280	0.0000	0.0000	0.0000
281	2.0000	1.4184	1.4514
282	2.0000	1.4184	1.4514
283	2.0000	1.4184	1.4514
284	2.0000	1.4184	1.4514
285	2.0000	1.4184	1.4514
286	0.0000	0.0000	0.0000
287	2.0000	1.4184	1.4514
288	2.0000	1.4184	1.4514
289	2.0000	1.4184	1.4514
290	0.0000	0.0000	0.0000
291	2.0000	1.4184	1.4514
292	2.0000	1.4184	1.4514
293	0.0000	0.0000	0.0000
294	2.0000	1.4184	1.4514
295	0.0000	0.0000	0.0000
296	2.0000	1.4184	1.4514
297	2.0000	1.4184	1.4514
298	2.0000	1.4184	1.4514
299	0.0000	0.0000	0.0000
300	0.0000	0.0000	0.0000
301	0.0000	0.0000	0.0000
302	2.0000	1.4184	1.4514
303	0.0000	0.0000	0.0000
304	2.0000	1.4184	1.4514
305	2.0000	1.4184	1.4514
306	2.0000	1.4184	1.4514
307	2.0000	1.4184	1.4514
308	0.0000	0.0000	0.0000
309	0.0000	0.0000	0.0000
310	2.0000	1.4184	1.4514
311	2.0000	1.4184	1.4514
312	0.0000	0.0000	0.0000
313	2.0000	1.4184	1.4514
314	2.0000	1.4184	1.4514
315	0.0000	0.0000	0.0000
316	2.0000	1.4184	1.4514
317	0.0000	0.0000	0.0000
318	0.0000	0.0000	0.0000
319	2.0000	1.4184	1.4514
320	2.0000	1.4184	1.4514
321	2.0000	1.4184	1.4514
322	2.0000	1.4184	1.4514
323	2.0000	1.4184	1.4514
324	2.0000	1.4184	1.4514
325	2.0000	1.4184	1.4514
326	0.0000	0.0000	0.0000
327	0.0000	0.0000	0.0000
328	2.0000	1.4184	1.4514
329	2.0000	1.4184	1.4514
330	2.0000	1.4184	1.4514
331	2.0000	1.4184	1.4514
332	2.0000	1.4184	1.4514
333	2.0000	1.4184	1.4514
334	2.0000	1.4184	1.4514
335	0.0000	0.0000	0.0000
336	0.0000	0.0000	0.0000
337	2.0000	1.4184	1.4514
338	0.0000	0.0000	0.0000
339	2.0000	1.4184	1.4514
340	2.0000	1.4184	1.4514
341	2.0000	1.4184	1.4514
342	0.0000	0.0000	0.0000
343	2.0000	1.4184	1.4514
344	2.0000	1.4184	1.4514
345	2.0000	1.4184	1.4514
346	2.0000	1.4184	1.4514
347	2.0000	1.4184	1.4514
348	2.0000	1.4184	1.4514
349	0.0000	0.0000	0.0000
350	0.0000	0.0000	0.0000
351	0.0000	0.0000	0.0000
352	2.0000	1.4184	1.4514
353	0.0000	0.0000	0.0000
354	2.0000	1.4184	1.4514
355	2.0000	1.4184	1.4514
356	0.0000	0.0000	0.0000
357	2.0000	1.4184	1.4514
358	2.0000	1.4184	1.4514
359	0.0000	0.0000	0.0000
360	0.0000	0.0000	0.0000
361	0.0000	0.0000	0.0000
362	2.0000	1.4184	1.4514
363	2.0000	1.4184	1.4514
364	2.0000	1.4184	1.4514
365	0.0000	0.0000	0.0000
366	2.0000	1.4184	1.4514
367	2.0000	1.4184	1.4514
368	0.0000	0.0000	0.0000
369	0.0000	0.0000	0.0000
370	0.0000	0.0000	0.0000
371	0.0000	0.0000	0.0000
372	0.0000	0.0000	0.0000
373	2.0000	1.4184	1.4514
374	2.0000	1.4184	1.4514
375	0.0000	0.0000	0.0000
376	2.0000	1.4184	1.4514
377	2.0000	1.4184	1.4514
378	2.0000	1.4184	1.4514
379	2.0000	1.4184	1.4514
380	2.0000	1.4184	1.4514
381	0.0000	0.0000	0.0000
382	2.0000	1.4184	1.4514
383	2.0000	1.4184	1.4514
384	2.0000	1.4184	1.4514
385	2.0000	1.4184	1.4514
386	2.0000	1.4184	1.4514
387	2.0000	1.4184	1.4514
388	2.0000	1.4184	1.4514
389	2.0000	1.4184	1.4514
390	2.0000	1.4184	1.4514
391	2.0000	1.4184	1.4514
392	2.0000	1.4184	1.4514
393	2.0000	1.4184	1.4514
394	2.0000	1.4184	1.4514
395	2.0000	1.4184	1.4514
396	0.0000	0.0000	0.0000
397	0.0000	0.0000	0.0000
398	2.0000	1.4184	1.4514
399	2.0000	1.4184	1.4514
400	2.0000	1.4184	1.4514
401	2.0000	1.4184	1.4514
402	2.0000	1.4184	1.4514
403	0.0000	0.0000	0.0000
404	2.0000	1.4184	1.4514
405	2.0000	1.4184	1.4514
406	2.0000	1.4184	1.4514
407	2.0000	1.4184	1.4514
408	0.0000	0.0000	0.0000
409	0.0000	0.0000	0.0000
410	0.0000	0.0000	0.0000
411	0.0000	0.0000	0.0000
412	2.0000	1.4184	1.4514
413	0.0000	0.0000	0.0000
414	2.0000	1.4184	1.4514
415	2.0000	1.4184	1.4514
416	2.0000	1.4184	1.4514
417	2.0000	1.4184	1.4514
418	2.0000	1.4184	1.4514
419	2.0000	1.4184	1.4514
420	2.0000	1.4184	1.4514
421	0.0000	0.0000	0.0000
422	2.0000	1.4184	1.4514
423	2.0000	1.4184	1.4514
424	0.0000	0.0000	0.0000
425	2.0000	1.4184	1.4514
426	0.0000	0.0000	0.0000
427	0.0000	0.0000	0.0000
428	2.0000	1.4184	1.4514
429	2.0000	1.4184	1.4514
430	2.0000	1.4184	1.4514
431	2.0000	1.4184	1.4514
432	2.0000	1.4184	1.4514
433	2.0000	1.4184	1.4514
434	2.0000	1.4184	1.4514
435	2.0000	1.4184	1.4514
436	2.0000	1.4184	1.4514
437	2.0000	1.4184	1.4514
438	2.0000	1.4184	1.4514
439	2.0000	1.4184	1.4514
440	2.0000	1.4184	1.4514
441	2.0000	1.4184	1.4514
442	0.0000	0.0000	0.0000
443	2.0000	1.4184	1.4514
444	2.0000	1.4184	1.4514
445	2.0000	1.4184	1.4514
446	2.0000	1.4184	1.4514
447	2.0000	1.4184	1.4514
448	0.0000	0.0000	0.0000
449	0.0000	0.0000	0.0000
450	0.0000	0.0000	0.0000
451	2.0000	1.4184	1.4514
452	2.0000	1.4184	1.4514
453	2.0000	1.4184	1.4514
454	0.0000	0.0000	0.0000
455	2.0000	1.4184	1.4514
456	0.0000	0.0000	0.0000
457	0.0000	0.0000	0.0000
458	0.0000	0.0000	0.0000
459	2.0000	1.4184	1.4514
460	2.0000	1.4184	1.4514
461	2.0000	1.4184	1.4514
462	2.0000	1.4184	1.4514
463	2.0000	1.4184	1.4514
464	2.0000	1.4184	1.4514
465	2.0000	1.4184	1.4514
466	2.0000	1.4184	1.4514
467	2.0000	1.4184	1.4514
468	0.0000	0.0000	0.0000
469	2.0000	1.4184	1.4514
470	2.0000	1.4184	1.4514
471	2.0000	1.4184	1.4514
472	2.0000	1.4184	1.4514
473	0.0000	0.0000	0.0000
474	0.0000	0.0000	0.0000
475	2.0000	1.4184	1.4514
476	2.0000	1.4184	1.4514
477	2.0000	1.4184	1.4514
478	2.0000	1.4184	1.4514
479	2.0000	1.4184	1.4514
480	0.0000	0.0000	0.0000
481	2.0000	1.4184	1.4514
482	0.0000	0.0000	0.0000
483	2.0000	1.4184	1.4514
484	0.0000	0.0000	0.0000
485	2.0000	1.4184	1.4514
486	2.0000	1.4184	1.4514
487	2.0000	1.4184	1.4514
488	2.0000	1.4184	1.4514
489	2.0000	1.4184	1.4514
490	2.0000	1.4184	1.4514
491	2.0000	1.4184	1.4514
492	2.0000	1.4184	1.4514
493	2.0000	1.4184	1.4514
494	0.0000	0.0000	0.0000
495	2.0000	1.4184	1.4514
496	2.0000	1.4184	1.4514
497	2.0000	1.4184	1.4514
498	0.0000	0.0000	0.0000
499	2.0000	1.4184	1.4514
500	2.0000	1.4184	1.4514
501	2.0000	1.4184	1.4514
502	0.0000	0.0000	0.0000
503	2.0000	1.4184	1.4514
504	2.0000	1.4184	1.4514
505	2.0000	1.4184	1.4514
506	2.0000	1.4184	1.4514
507	0.0000	0.0000	0.0000
508	2.0000	1.4184	1.4514
509	0.0000	0.0000	0.0000
510	0.0000	0.0000	0.0000
511	0.0000	0.0000	0.0000
512	0.0000	0.0000	0.0000
513	2.0000	1.4184	1.4514
514	2.0000	1.4184	1.4514
515	2.0000	1.4184	1.4514
516	2.0000	1.4184	1.4514
517	0.0000	0.0000	0.0000
518	2.0000	1.4184	1.4514
519	0.0000	0.0000	0.0000
520	2.0000	1.4184	1.4514
521	0.0000	0.0000	0.0000
522	2.0000	1.4184	1.4514
523	0.0000	0.0000	0.0000
524	0.0000	0.0000	0.0000
525	0.0000	0.0000	0.0000
526	2.0000	1.4184	1.4514
527	2.0000	1.4184	1.4514
528	0.0000	0.0000	0.0000
529	2.0000	1.4184	1.4514
530	0.0000	0.0000	0.0000
531	0.0000	0.0000	0.0000
532	0.0000	0.0000	0.0000
533	2.0000	1.4184	1.4514
