Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
449	4.0000	1.0908	1.0902
450	3.0000	0.8181	0.8177
451	3.0000	0.8181	0.8177
452	4.0000	1.0908	1.0902
453	4.0000	1.0908	1.0902
454	3.0000	0.8181	0.8177
455	3.0000	0.8181	0.8177
456	4.0000	1.0908	1.0902
457	4.0000	1.0908	1.0902
458	4.0000	1.0908	1.0902
459	4.0000	1.0908	1.0902
460	4.0000	1.0908	1.0902
461	4.0000	1.0908	1.0902
462	4.0000	1.0908	1.0902
463	4.0000	1.0908	1.0902
464	4.0000	1.0908	1.0902
465	4.0000	1.0908	1.0902
466	3.0000	0.8181	0.8177
467	4.0000	1.0908	1.0902
468	2.0000	0.5454	0.5451
469	4.0000	1.0908	1.0902
470	4.0000	1.0908	1.0902
471	4.0000	1.0908	1.0902
472	4.0000	1.0908	1.0902
473	4.0000	1.0908	1.0902
474	3.0000	0.8181	0.8177
475	4.0000	1.0908	1.0902
476	4.0000	1.0908	1.0902
477	4.0000	1.0908	1.0902
478	3.0000	0.8181	0.8177
479	3.0000	0.8181	0.8177
480	3.0000	0.8181	0.8177
481	3.0000	0.8181	0.8177
482	4.0000	1.0908	1.0902
483	4.0000	1.0908	1.0902
484	4.0000	1.0908	1.0902
485	4.0000	1.0908	1.0902
486	4.0000	1.0908	1.0902
487	3.0000	0.8181	0.8177
488	4.0000	1.0908	1.0902
489	4.0000	1.0908	1.0902
490	3.0000	0.8181	0.8177
491	4.0000	1.0908	1.0902
492	4.0000	1.0908	1.0902
493	4.0000	1.0908	1.0902
494	4.0000	1.0908	1.0902
495	3.0000	0.8181	0.8177
496	4.0000	1.0908	1.0902
497	4.0000	1.0908	1.0902
498	4.0000	1.0908	1.0902
499	4.0000	1.0908	1.0902
500	4.0000	1.0908	1.0902
501	3.0000	0.8181	0.8177
502	4.0000	1.0908	1.0902
503	4.0000	1.0908	1.0902
504	4.0000	1.0908	1.0902
505	4.0000	1.0908	1.0902
506	4.0000	1.0908	1.0902
507	4.0000	1.0908	1.0902
508	4.0000	1.0908	1.0902
509	3.0000	0.8181	0.8177
510	4.0000	1.0908	1.0902
511	4.0000	1.0908	1.0902
512	4.0000	1.0908	1.0902
513	4.0000	1.0908	1.0902
514	3.0000	0.8181	0.8177
515	3.0000	0.8181	0.8177
516	2.0000	0.5454	0.5451
517	4.0000	1.0908	1.0902
518	4.0000	1.0908	1.0902
519	3.0000	0.8181	0.8177
520	4.0000	1.0908	1.0902
521	4.0000	1.0908	1.0902
522	4.0000	1.0908	1.0902
523	4.0000	1.0908	1.0902
524	4.0000	1.0908	1.0902
525	3.0000	0.8181	0.8177
526	4.0000	1.0908	1.0902
527	3.0000	0.8181	0.8177
528	3.0000	0.8181	0.8177
529	4.0000	1.0908	1.0902
530	4.0000	1.0908	1.0902
531	4.0000	1.0908	1.0902
532	4.0000	1.0908	1.0902
533	4.0000	1.0908	1.0902
534	4.0000	1.0908	1.0902
535	3.0000	0.8181	0.8177
536	4.0000	1.0908	1.0902
537	4.0000	1.0908	1.0902
538	3.0000	0.8181	0.8177
539	4.0000	1.0908	1.0902
540	4.0000	1.0908	1.0902
541	4.0000	1.0908	1.0902
542	4.0000	1.0908	1.0902
543	4.0000	1.0908	1.0902
544	3.0000	0.8181	0.8177
545	3.0000	0.8181	0.8177
546	3.0000	0.8181	0.8177
547	2.0000	0.5454	0.5451
548	4.0000	1.0908	1.0902
549	4.0000	1.0908	1.0902
550	4.0000	1.0908	1.0902
551	4.0000	1.0908	1.0902
552	2.0000	0.5454	0.5451
553	2.0000	0.5454	0.5451
554	4.0000	1.0908	1.0902
555	4.0000	1.0908	1.0902
556	4.0000	1.0908	1.0902
557	4.0000	1.0908	1.0902
558	4.0000	1.0908	1.0902
559	2.0000	0.5454	0.5451
560	4.0000	1.0908	1.0902
561	4.0000	1.0908	1.0902
562	4.0000	1.0908	1.0902
563	4.0000	1.0908	1.0902
564	3.0000	0.8181	0.8177
565	4.0000	1.0908	1.0902
566	3.0000	0.8181	0.8177
567	4.0000	1.0908	1.0902
568	3.0000	0.8181	0.8177
569	3.0000	0.8181	0.8177
570	4.0000	1.0908	1.0902
571	4.0000	1.0908	1.0902
572	4.0000	1.0908	1.0902
573	4.0000	1.0908	1.0902
574	4.0000	1.0908	1.0902
575	4.0000	1.0908	1.0902
576	4.0000	1.0908	1.0902
577	4.0000	1.0908	1.0902
578	4.0000	1.0908	1.0902
579	4.0000	1.0908	1.0902
580	4.0000	1.0908	1.0902
581	4.0000	1.0908	1.0902
582	4.0000	1.0908	1.0902
583	3.0000	0.8181	0.8177
584	4.0000	1.0908	1.0902
585	4.0000	1.0908	1.0902
586	4.0000	1.0908	1.0902
587	3.0000	0.8181	0.8177
588	3.0000	0.8181	0.8177
589	2.0000	0.5454	0.5451
590	3.0000	0.8181	0.8177
591	4.0000	1.0908	1.0902
592	3.0000	0.8181	0.8177
593	4.0000	1.0908	1.0902
594	4.0000	1.0908	1.0902
