Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
508	3.0000	1.1610	1.1385
509	3.0000	1.1610	1.1385
510	2.0000	0.7740	0.7590
511	3.0000	1.1610	1.1385
512	3.0000	1.1610	1.1385
513	3.0000	1.1610	1.1385
514	3.0000	1.1610	1.1385
515	2.0000	0.7740	0.7590
516	1.0000	0.3870	0.3795
517	3.0000	1.1610	1.1385
518	3.0000	1.1610	1.1385
519	1.0000	0.3870	0.3795
520	3.0000	1.1610	1.1385
521	3.0000	1.1610	1.1385
522	3.0000	1.1610	1.1385
523	3.0000	1.1610	1.1385
524	3.0000	1.1610	1.1385
525	2.0000	0.7740	0.7590
526	3.0000	1.1610	1.1385
527	2.0000	0.7740	0.7590
528	2.0000	0.7740	0.7590
529	3.0000	1.1610	1.1385
530	2.0000	0.7740	0.7590
531	3.0000	1.1610	1.1385
532	3.0000	1.1610	1.1385
533	3.0000	1.1610	1.1385
534	3.0000	1.1610	1.1385
535	3.0000	1.1610	1.1385
536	3.0000	1.1610	1.1385
537	2.0000	0.7740	0.7590
538	3.0000	1.1610	1.1385
539	2.0000	0.7740	0.7590
540	3.0000	1.1610	1.1385
541	3.0000	1.1610	1.1385
542	3.0000	1.1610	1.1385
543	2.0000	0.7740	0.7590
544	3.0000	1.1610	1.1385
545	3.0000	1.1610	1.1385
546	2.0000	0.7740	0.7590
547	2.0000	0.7740	0.7590
548	3.0000	1.1610	1.1385
549	2.0000	0.7740	0.7590
550	3.0000	1.1610	1.1385
551	1.0000	0.3870	0.3795
552	2.0000	0.7740	0.7590
553	3.0000	1.1610	1.1385
554	3.0000	1.1610	1.1385
555	2.0000	0.7740	0.7590
556	3.0000	1.1610	1.1385
557	3.0000	1.1610	1.1385
558	3.0000	1.1610	1.1385
559	2.0000	0.7740	0.7590
560	3.0000	1.1610	1.1385
561	3.0000	1.1610	1.1385
562	3.0000	1.1610	1.1385
563	2.0000	0.7740	0.7590
564	3.0000	1.1610	1.1385
565	3.0000	1.1610	1.1385
566	3.0000	1.1610	1.1385
567	3.0000	1.1610	1.1385
568	2.0000	0.7740	0.7590
569	2.0000	0.7740	0.7590
570	3.0000	1.1610	1.1385
571	3.0000	1.1610	1.1385
572	3.0000	1.1610	1.1385
573	2.0000	0.7740	0.7590
574	3.0000	1.1610	1.1385
575	3.0000	1.1610	1.1385
576	2.0000	0.7740	0.7590
577	1.0000	0.3870	0.3795
578	3.0000	1.1610	1.1385
579	2.0000	0.7740	0.7590
580	3.0000	1.1610	1.1385
581	3.0000	1.1610	1.1385
582	2.0000	0.7740	0.7590
583	2.0000	0.7740	0.7590
584	3.0000	1.1610	1.1385
585	3.0000	1.1610	1.1385
586	2.0000	0.7740	0.7590
587	3.0000	1.1610	1.1385
588	3.0000	1.1610	1.1385
589	3.0000	1.1610	1.1385
590	2.0000	0.7740	0.7590
591	3.0000	1.1610	1.1385
592	2.0000	0.7740	0.7590
593	3.0000	1.1610	1.1385
594	3.0000	1.1610	1.1385
595	2.0000	0.7740	0.7590
596	3.0000	1.1610	1.1385
597	3.0000	1.1610	1.1385
598	3.0000	1.1610	1.1385
599	3.0000	1.1610	1.1385
600	3.0000	1.1610	1.1385
601	3.0000	1.1610	1.1385
602	1.0000	0.3870	0.3795
603	2.0000	0.7740	0.7590
604	3.0000	1.1610	1.1385
605	2.0000	0.7740	0.7590
606	2.0000	0.7740	0.7590
607	3.0000	1.1610	1.1385
608	1.0000	0.3870	0.3795
609	3.0000	1.1610	1.1385
610	3.0000	1.1610	1.1385
611	3.0000	1.1610	1.1385
612	2.0000	0.7740	0.7590
613	3.0000	1.1610	1.1385
614	2.0000	0.7740	0.7590
615	3.0000	1.1610	1.1385
616	3.0000	1.1610	1.1385
617	3.0000	1.1610	1.1385
618	3.0000	1.1610	1.1385
619	3.0000	1.1610	1.1385
620	3.0000	1.1610	1.1385
621	3.0000	1.1610	1.1385
622	2.0000	0.7740	0.7590
623	3.0000	1.1610	1.1385
624	3.0000	1.1610	1.1385
625	3.0000	1.1610	1.1385
626	3.0000	1.1610	1.1385
627	3.0000	1.1610	1.1385
628	1.0000	0.3870	0.3795
629	3.0000	1.1610	1.1385
630	3.0000	1.1610	1.1385
631	3.0000	1.1610	1.1385
632	3.0000	1.1610	1.1385
633	2.0000	0.7740	0.7590
634	3.0000	1.1610	1.1385
635	3.0000	1.1610	1.1385
636	3.0000	1.1610	1.1385
637	2.0000	0.7740	0.7590
638	3.0000	1.1610	1.1385
639	3.0000	1.1610	1.1385
640	3.0000	1.1610	1.1385
641	2.0000	0.7740	0.7590
642	3.0000	1.1610	1.1385
643	3.0000	1.1610	1.1385
644	2.0000	0.7740	0.7590
645	3.0000	1.1610	1.1385
646	3.0000	1.1610	1.1385
647	3.0000	1.1610	1.1385
648	3.0000	1.1610	1.1385
649	2.0000	0.7740	0.7590
650	3.0000	1.1610	1.1385
651	3.0000	1.1610	1.1385
652	3.0000	1.1610	1.1385
653	3.0000	1.1610	1.1385
654	2.0000	0.7740	0.7590
655	2.0000	0.7740	0.7590
656	3.0000	1.1610	1.1385
657	3.0000	1.1610	1.1385
658	3.0000	1.1610	1.1385
659	2.0000	0.7740	0.7590
660	3.0000	1.1610	1.1385
661	2.0000	0.7740	0.7590
662	1.0000	0.3870	0.3795
663	3.0000	1.1610	1.1385
664	2.0000	0.7740	0.7590
665	3.0000	1.1610	1.1385
666	2.0000	0.7740	0.7590
667	2.0000	0.7740	0.7590
668	3.0000	1.1610	1.1385
669	2.0000	0.7740	0.7590
670	3.0000	1.1610	1.1385
671	3.0000	1.1610	1.1385
672	3.0000	1.1610	1.1385
673	3.0000	1.1610	1.1385
674	3.0000	1.1610	1.1385
675	3.0000	1.1610	1.1385
676	3.0000	1.1610	1.1385
677	3.0000	1.1610	1.1385
678	3.0000	1.1610	1.1385
679	2.0000	0.7740	0.7590
680	3.0000	1.1610	1.1385
681	3.0000	1.1610	1.1385
682	3.0000	1.1610	1.1385
683	2.0000	0.7740	0.7590
684	2.0000	0.7740	0.7590
685	1.0000	0.3870	0.3795
686	3.0000	1.1610	1.1385
687	3.0000	1.1610	1.1385
688	3.0000	1.1610	1.1385
689	3.0000	1.1610	1.1385
690	3.0000	1.1610	1.1385
691	2.0000	0.7740	0.7590
692	3.0000	1.1610	1.1385
693	2.0000	0.7740	0.7590
694	1.0000	0.3870	0.3795
695	2.0000	0.7740	0.7590
696	2.0000	0.7740	0.7590
697	3.0000	1.1610	1.1385
698	3.0000	1.1610	1.1385
699	3.0000	1.1610	1.1385
700	3.0000	1.1610	1.1385
701	3.0000	1.1610	1.1385
702	2.0000	0.7740	0.7590
703	3.0000	1.1610	1.1385
704	3.0000	1.1610	1.1385
705	1.0000	0.3870	0.3795
706	2.0000	0.7740	0.7590
707	2.0000	0.7740	0.7590
708	3.0000	1.1610	1.1385
709	3.0000	1.1610	1.1385
710	3.0000	1.1610	1.1385
711	3.0000	1.1610	1.1385
712	3.0000	1.1610	1.1385
713	3.0000	1.1610	1.1385
