Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
283	18.0000	1.0988	1.0577
284	15.0000	0.9156	0.8814
285	16.0000	0.9767	0.9402
286	13.0000	0.7936	0.7639
287	15.0000	0.9156	0.8814
288	16.0000	0.9767	0.9402
289	12.0000	0.7325	0.7051
290	10.0000	0.6104	0.5876
291	11.0000	0.6715	0.6464
292	17.0000	1.0377	0.9989
293	15.0000	0.9156	0.8814
294	15.0000	0.9156	0.8814
295	18.0000	1.0988	1.0577
296	19.0000	1.1598	1.1165
297	15.0000	0.9156	0.8814
298	17.0000	1.0377	0.9989
299	17.0000	1.0377	0.9989
300	20.0000	1.2209	1.1752
301	19.0000	1.1598	1.1165
302	15.0000	0.9156	0.8814
303	15.0000	0.9156	0.8814
304	15.0000	0.9156	0.8814
305	20.0000	1.2209	1.1752
306	12.0000	0.7325	0.7051
307	16.0000	0.9767	0.9402
308	18.0000	1.0988	1.0577
309	16.0000	0.9767	0.9402
310	18.0000	1.0988	1.0577
311	17.0000	1.0377	0.9989
312	16.0000	0.9767	0.9402
313	15.0000	0.9156	0.8814
314	15.0000	0.9156	0.8814
315	19.0000	1.1598	1.1165
316	19.0000	1.1598	1.1165
317	12.0000	0.7325	0.7051
318	10.0000	0.6104	0.5876
319	18.0000	1.0988	1.0577
320	18.0000	1.0988	1.0577
321	18.0000	1.0988	1.0577
322	14.0000	0.8546	0.8227
323	16.0000	0.9767	0.9402
324	17.0000	1.0377	0.9989
325	18.0000	1.0988	1.0577
326	14.0000	0.8546	0.8227
327	16.0000	0.9767	0.9402
328	16.0000	0.9767	0.9402
329	18.0000	1.0988	1.0577
330	17.0000	1.0377	0.9989
331	18.0000	1.0988	1.0577
332	15.0000	0.9156	0.8814
333	14.0000	0.8546	0.8227
334	17.0000	1.0377	0.9989
335	16.0000	0.9767	0.9402
336	18.0000	1.0988	1.0577
337	18.0000	1.0988	1.0577
338	14.0000	0.8546	0.8227
339	12.0000	0.7325	0.7051
340	18.0000	1.0988	1.0577
341	16.0000	0.9767	0.9402
342	13.0000	0.7936	0.7639
343	10.0000	0.6104	0.5876
344	14.0000	0.8546	0.8227
345	17.0000	1.0377	0.9989
