Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
289	10.0000	1.1055	1.0922
290	8.0000	0.8844	0.8737
291	11.0000	1.2160	1.2014
292	8.0000	0.8844	0.8737
293	7.0000	0.7738	0.7645
294	8.0000	0.8844	0.8737
295	6.0000	0.6633	0.6553
296	10.0000	1.1055	1.0922
297	10.0000	1.1055	1.0922
298	8.0000	0.8844	0.8737
299	8.0000	0.8844	0.8737
300	12.0000	1.3266	1.3106
301	8.0000	0.8844	0.8737
302	7.0000	0.7738	0.7645
303	6.0000	0.6633	0.6553
304	11.0000	1.2160	1.2014
305	8.0000	0.8844	0.8737
306	8.0000	0.8844	0.8737
307	6.0000	0.6633	0.6553
308	7.0000	0.7738	0.7645
309	9.0000	0.9949	0.9830
310	11.0000	1.2160	1.2014
311	10.0000	1.1055	1.0922
312	9.0000	0.9949	0.9830
313	9.0000	0.9949	0.9830
314	9.0000	0.9949	0.9830
315	9.0000	0.9949	0.9830
316	11.0000	1.2160	1.2014
317	8.0000	0.8844	0.8737
318	4.0000	0.4422	0.4369
319	9.0000	0.9949	0.9830
320	9.0000	0.9949	0.9830
321	8.0000	0.8844	0.8737
322	8.0000	0.8844	0.8737
323	9.0000	0.9949	0.9830
324	6.0000	0.6633	0.6553
325	8.0000	0.8844	0.8737
326	10.0000	1.1055	1.0922
327	11.0000	1.2160	1.2014
328	10.0000	1.1055	1.0922
329	7.0000	0.7738	0.7645
330	7.0000	0.7738	0.7645
331	8.0000	0.8844	0.8737
332	8.0000	0.8844	0.8737
333	10.0000	1.1055	1.0922
334	11.0000	1.2160	1.2014
335	6.0000	0.6633	0.6553
336	10.0000	1.1055	1.0922
337	11.0000	1.2160	1.2014
338	10.0000	1.1055	1.0922
339	8.0000	0.8844	0.8737
340	7.0000	0.7738	0.7645
341	10.0000	1.1055	1.0922
342	7.0000	0.7738	0.7645
343	8.0000	0.8844	0.8737
344	9.0000	0.9949	0.9830
345	8.0000	0.8844	0.8737
346	10.0000	1.1055	1.0922
347	7.0000	0.7738	0.7645
348	12.0000	1.3266	1.3106
349	7.0000	0.7738	0.7645
350	8.0000	0.8844	0.8737
351	10.0000	1.1055	1.0922
352	9.0000	0.9949	0.9830
353	11.0000	1.2160	1.2014
354	3.0000	0.3316	0.3277
355	8.0000	0.8844	0.8737
356	8.0000	0.8844	0.8737
357	9.0000	0.9949	0.9830
358	11.0000	1.2160	1.2014
359	6.0000	0.6633	0.6553
360	11.0000	1.2160	1.2014
361	10.0000	1.1055	1.0922
362	9.0000	0.9949	0.9830
363	5.0000	0.5527	0.5461
364	10.0000	1.1055	1.0922
365	7.0000	0.7738	0.7645
366	7.0000	0.7738	0.7645
367	8.0000	0.8844	0.8737
368	8.0000	0.8844	0.8737
369	10.0000	1.1055	1.0922
370	9.0000	0.9949	0.9830
371	8.0000	0.8844	0.8737
372	8.0000	0.8844	0.8737
373	9.0000	0.9949	0.9830
374	4.0000	0.4422	0.4369
375	10.0000	1.1055	1.0922
376	6.0000	0.6633	0.6553
377	7.0000	0.7738	0.7645
378	10.0000	1.1055	1.0922
379	10.0000	1.1055	1.0922
380	8.0000	0.8844	0.8737
381	11.0000	1.2160	1.2014
382	8.0000	0.8844	0.8737
383	10.0000	1.1055	1.0922
384	6.0000	0.6633	0.6553
385	6.0000	0.6633	0.6553
386	8.0000	0.8844	0.8737
387	7.0000	0.7738	0.7645
388	10.0000	1.1055	1.0922
389	6.0000	0.6633	0.6553
390	9.0000	0.9949	0.9830
391	4.0000	0.4422	0.4369
392	6.0000	0.6633	0.6553
393	10.0000	1.1055	1.0922
394	9.0000	0.9949	0.9830
395	7.0000	0.7738	0.7645
396	9.0000	0.9949	0.9830
397	8.0000	0.8844	0.8737
398	6.0000	0.6633	0.6553
399	8.0000	0.8844	0.8737
400	6.0000	0.6633	0.6553
401	7.0000	0.7738	0.7645
402	4.0000	0.4422	0.4369
403	8.0000	0.8844	0.8737
404	12.0000	1.3266	1.3106
405	10.0000	1.1055	1.0922
406	10.0000	1.1055	1.0922
407	9.0000	0.9949	0.9830
408	11.0000	1.2160	1.2014
409	8.0000	0.8844	0.8737
410	12.0000	1.3266	1.3106
411	7.0000	0.7738	0.7645
412	8.0000	0.8844	0.8737
413	7.0000	0.7738	0.7645
414	8.0000	0.8844	0.8737
415	9.0000	0.9949	0.9830
416	11.0000	1.2160	1.2014
417	8.0000	0.8844	0.8737
418	11.0000	1.2160	1.2014
419	10.0000	1.1055	1.0922
420	9.0000	0.9949	0.9830
421	6.0000	0.6633	0.6553
422	9.0000	0.9949	0.9830
423	10.0000	1.1055	1.0922
424	5.0000	0.5527	0.5461
425	8.0000	0.8844	0.8737
426	10.0000	1.1055	1.0922
427	7.0000	0.7738	0.7645
428	6.0000	0.6633	0.6553
429	9.0000	0.9949	0.9830
430	10.0000	1.1055	1.0922
431	5.0000	0.5527	0.5461
432	7.0000	0.7738	0.7645
433	10.0000	1.1055	1.0922
434	6.0000	0.6633	0.6553
435	9.0000	0.9949	0.9830
436	6.0000	0.6633	0.6553
437	7.0000	0.7738	0.7645
438	12.0000	1.3266	1.3106
439	9.0000	0.9949	0.9830
440	7.0000	0.7738	0.7645
441	10.0000	1.1055	1.0922
442	6.0000	0.6633	0.6553
443	5.0000	0.5527	0.5461
444	7.0000	0.7738	0.7645
445	9.0000	0.9949	0.9830
446	8.0000	0.8844	0.8737
447	8.0000	0.8844	0.8737
448	8.0000	0.8844	0.8737
449	9.0000	0.9949	0.9830
450	10.0000	1.1055	1.0922
451	8.0000	0.8844	0.8737
452	10.0000	1.1055	1.0922
453	8.0000	0.8844	0.8737
454	6.0000	0.6633	0.6553
455	7.0000	0.7738	0.7645
456	9.0000	0.9949	0.9830
457	7.0000	0.7738	0.7645
458	8.0000	0.8844	0.8737
459	7.0000	0.7738	0.7645
460	10.0000	1.1055	1.0922
461	11.0000	1.2160	1.2014
462	10.0000	1.1055	1.0922
463	8.0000	0.8844	0.8737
464	7.0000	0.7738	0.7645
465	11.0000	1.2160	1.2014
466	6.0000	0.6633	0.6553
467	10.0000	1.1055	1.0922
468	3.0000	0.3316	0.3277
469	6.0000	0.6633	0.6553
470	10.0000	1.1055	1.0922
471	11.0000	1.2160	1.2014
472	8.0000	0.8844	0.8737
473	9.0000	0.9949	0.9830
474	7.0000	0.7738	0.7645
475	9.0000	0.9949	0.9830
476	10.0000	1.1055	1.0922
477	9.0000	0.9949	0.9830
478	8.0000	0.8844	0.8737
479	9.0000	0.9949	0.9830
480	6.0000	0.6633	0.6553
481	9.0000	0.9949	0.9830
482	9.0000	0.9949	0.9830
483	7.0000	0.7738	0.7645
484	10.0000	1.1055	1.0922
485	6.0000	0.6633	0.6553
486	7.0000	0.7738	0.7645
487	3.0000	0.3316	0.3277
488	10.0000	1.1055	1.0922
489	11.0000	1.2160	1.2014
490	4.0000	0.4422	0.4369
491	6.0000	0.6633	0.6553
492	10.0000	1.1055	1.0922
493	10.0000	1.1055	1.0922
494	9.0000	0.9949	0.9830
495	6.0000	0.6633	0.6553
496	6.0000	0.6633	0.6553
497	6.0000	0.6633	0.6553
498	8.0000	0.8844	0.8737
499	8.0000	0.8844	0.8737
500	10.0000	1.1055	1.0922
501	11.0000	1.2160	1.2014
502	8.0000	0.8844	0.8737
503	8.0000	0.8844	0.8737
504	8.0000	0.8844	0.8737
505	9.0000	0.9949	0.9830
506	8.0000	0.8844	0.8737
507	10.0000	1.1055	1.0922
508	7.0000	0.7738	0.7645
509	6.0000	0.6633	0.6553
510	10.0000	1.1055	1.0922
511	8.0000	0.8844	0.8737
512	8.0000	0.8844	0.8737
513	8.0000	0.8844	0.8737
514	7.0000	0.7738	0.7645
515	9.0000	0.9949	0.9830
516	3.0000	0.3316	0.3277
517	10.0000	1.1055	1.0922
518	8.0000	0.8844	0.8737
519	12.0000	1.3266	1.3106
520	8.0000	0.8844	0.8737
521	9.0000	0.9949	0.9830
522	10.0000	1.1055	1.0922
523	8.0000	0.8844	0.8737
524	10.0000	1.1055	1.0922
525	8.0000	0.8844	0.8737
526	7.0000	0.7738	0.7645
527	8.0000	0.8844	0.8737
528	6.0000	0.6633	0.6553
529	11.0000	1.2160	1.2014
530	6.0000	0.6633	0.6553
531	10.0000	1.1055	1.0922
532	10.0000	1.1055	1.0922
533	8.0000	0.8844	0.8737
534	10.0000	1.1055	1.0922
535	8.0000	0.8844	0.8737
536	7.0000	0.7738	0.7645
537	7.0000	0.7738	0.7645
538	10.0000	1.1055	1.0922
539	9.0000	0.9949	0.9830
540	8.0000	0.8844	0.8737
541	8.0000	0.8844	0.8737
542	9.0000	0.9949	0.9830
543	6.0000	0.6633	0.6553
544	9.0000	0.9949	0.9830
545	8.0000	0.8844	0.8737
546	6.0000	0.6633	0.6553
547	9.0000	0.9949	0.9830
548	9.0000	0.9949	0.9830
549	7.0000	0.7738	0.7645
550	8.0000	0.8844	0.8737
551	9.0000	0.9949	0.9830
552	6.0000	0.6633	0.6553
553	10.0000	1.1055	1.0922
554	10.0000	1.1055	1.0922
555	6.0000	0.6633	0.6553
556	9.0000	0.9949	0.9830
557	11.0000	1.2160	1.2014
558	7.0000	0.7738	0.7645
559	7.0000	0.7738	0.7645
560	8.0000	0.8844	0.8737
561	8.0000	0.8844	0.8737
