Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
411	4.0000	1.0908	1.0902
412	4.0000	1.0908	1.0902
413	4.0000	1.0908	1.0902
414	3.0000	0.8181	0.8177
415	4.0000	1.0908	1.0902
416	4.0000	1.0908	1.0902
417	4.0000	1.0908	1.0902
418	4.0000	1.0908	1.0902
419	4.0000	1.0908	1.0902
420	3.0000	0.8181	0.8177
421	3.0000	0.8181	0.8177
422	4.0000	1.0908	1.0902
423	4.0000	1.0908	1.0902
424	2.0000	0.5454	0.5451
425	3.0000	0.8181	0.8177
426	4.0000	1.0908	1.0902
427	4.0000	1.0908	1.0902
428	3.0000	0.8181	0.8177
429	4.0000	1.0908	1.0902
430	4.0000	1.0908	1.0902
431	3.0000	0.8181	0.8177
432	4.0000	1.0908	1.0902
433	4.0000	1.0908	1.0902
434	3.0000	0.8181	0.8177
435	4.0000	1.0908	1.0902
436	4.0000	1.0908	1.0902
437	4.0000	1.0908	1.0902
438	4.0000	1.0908	1.0902
439	4.0000	1.0908	1.0902
440	4.0000	1.0908	1.0902
441	4.0000	1.0908	1.0902
442	3.0000	0.8181	0.8177
443	3.0000	0.8181	0.8177
444	3.0000	0.8181	0.8177
445	3.0000	0.8181	0.8177
446	3.0000	0.8181	0.8177
447	3.0000	0.8181	0.8177
448	3.0000	0.8181	0.8177
449	4.0000	1.0908	1.0902
450	4.0000	1.0908	1.0902
451	4.0000	1.0908	1.0902
452	4.0000	1.0908	1.0902
453	4.0000	1.0908	1.0902
454	2.0000	0.5454	0.5451
455	2.0000	0.5454	0.5451
456	4.0000	1.0908	1.0902
457	4.0000	1.0908	1.0902
458	4.0000	1.0908	1.0902
459	3.0000	0.8181	0.8177
460	4.0000	1.0908	1.0902
461	4.0000	1.0908	1.0902
462	4.0000	1.0908	1.0902
463	4.0000	1.0908	1.0902
464	4.0000	1.0908	1.0902
465	4.0000	1.0908	1.0902
466	4.0000	1.0908	1.0902
467	4.0000	1.0908	1.0902
468	2.0000	0.5454	0.5451
469	3.0000	0.8181	0.8177
470	4.0000	1.0908	1.0902
471	4.0000	1.0908	1.0902
472	4.0000	1.0908	1.0902
473	4.0000	1.0908	1.0902
474	3.0000	0.8181	0.8177
475	4.0000	1.0908	1.0902
476	4.0000	1.0908	1.0902
477	3.0000	0.8181	0.8177
478	3.0000	0.8181	0.8177
479	3.0000	0.8181	0.8177
480	4.0000	1.0908	1.0902
481	3.0000	0.8181	0.8177
482	4.0000	1.0908	1.0902
483	4.0000	1.0908	1.0902
484	4.0000	1.0908	1.0902
485	4.0000	1.0908	1.0902
486	4.0000	1.0908	1.0902
487	1.0000	0.2727	0.2726
488	4.0000	1.0908	1.0902
489	4.0000	1.0908	1.0902
490	1.0000	0.2727	0.2726
491	3.0000	0.8181	0.8177
492	4.0000	1.0908	1.0902
493	4.0000	1.0908	1.0902
494	3.0000	0.8181	0.8177
495	2.0000	0.5454	0.5451
496	3.0000	0.8181	0.8177
497	2.0000	0.5454	0.5451
498	4.0000	1.0908	1.0902
499	4.0000	1.0908	1.0902
500	4.0000	1.0908	1.0902
501	4.0000	1.0908	1.0902
502	4.0000	1.0908	1.0902
503	4.0000	1.0908	1.0902
504	4.0000	1.0908	1.0902
505	4.0000	1.0908	1.0902
506	4.0000	1.0908	1.0902
507	4.0000	1.0908	1.0902
508	4.0000	1.0908	1.0902
509	4.0000	1.0908	1.0902
510	4.0000	1.0908	1.0902
511	4.0000	1.0908	1.0902
512	4.0000	1.0908	1.0902
513	4.0000	1.0908	1.0902
514	4.0000	1.0908	1.0902
515	3.0000	0.8181	0.8177
516	2.0000	0.5454	0.5451
517	4.0000	1.0908	1.0902
518	4.0000	1.0908	1.0902
519	4.0000	1.0908	1.0902
520	4.0000	1.0908	1.0902
521	4.0000	1.0908	1.0902
522	4.0000	1.0908	1.0902
523	4.0000	1.0908	1.0902
524	4.0000	1.0908	1.0902
525	3.0000	0.8181	0.8177
